✔,ID,Jeu,👤,🇬🇧 Name,Name (Romaji),elem ico,Élément,Nom (Kanji),🇬🇧 Nickname,🇫🇷 Nickname,Sexe,Role,Position,"2nde
pos",Pref,Style,Lvl,Rareté,Kick,Ctrl,Tech,Intl,Pres,Phys,Agil,Shoot,AT Focus,DF Focus,AT Duel,DF Duel,Wall,Keeper,Total,N Kick,N Ctrl,N Tech,N Intl,N Pres,N Phys,N Agil,N Shoot,N AT Focus,N DF Focus,N AT Duel,N DF Duel,N Wall,N Keeper,N Total,🇬🇧 Skill lvl 1,🇬🇧 Skill lvl 13,🇬🇧 Skill lvl 20,🇬🇧 Skill lvl 30,🇬🇧 Skill lvl 38,🇬🇧 Skill lvl 43,🇫🇷 Skill lvl 1,🇫🇷 Skill lvl 13,🇫🇷 Skill lvl 20,🇫🇷 Skill lvl 30,🇫🇷 Skill lvl 38,🇫🇷 Skill lvl 43,École/Club/Équipe,Description,Recrutement,tampon,url
FALSE,1,IE,,Mark Evans,Mamoru Endo,,Montagne,円堂 守,Evans,Evans,♂,,GK,FW,,Justice,50,Légendaire,126,135,127,135,137,147,155,261,325,339,282,272,284,1335,962,90,97,91,97,98,105,111,187,233,243,202,195,203,955,689,Strong Punch,God Hand,Fireball Knuckle,,,,Poing puissant,Main céleste,Poing ardent,,,,"Raimon, Inazuma National","Has more passion for football than anyone else. His mighty heart will never give up, no matter what.","Player Universe: Instructus Notara, Handora, Diamantis | Chronicle Competition Route: Football Frontier Route: Royal Academy is Here!, Riverside Showdown!, Occult's Black Magic!, The Inazuma Drop!, The Terrifying Cyborgs!, Willy Rising!, Toe-to-Toe with Royal Academy, The Legendary Eleven!, Football – Ninja Style!, Unbreakable Wall Broken!, Clash with Kirkwood JH, God VS Majin!, Team Ogre Attacks! / Alius Route: The Aliens are Here!, Defeat the Dark 11!, Threat of Alius Academy!, Prince of Snowland, Alius Academy Attacks!, Training with Cloister!, Epsilon Attacks!, Royal Academy Counters!, Erik Eagle in Trouble!, Tough Battle: Epsilon!, The Other Majin!, Seismic Earthquake!, Rhythmic Football!, Advanced Epsilon Counter, Raging Flame Adept!, Absolute Zero Frostbite!, Surpass Royal Academy!, Chaos: Miraculous Team, The Battle for Earth! VS Genesis!!, Raimon VS Raimon! / FF International Route: Team Japan Unite!, Ride Over the Big Wave!, Scorching Desert Trap!, Replacements?!, Asia's Perfect Strategy!, The Sacred Knights, Horror! Another Jude!, Phoenix's Determination, Red Matador Powerhouse!, Mister D's Football, Apostles from the Sky, Dark Angels' Descent!, The Kingdom's Revenge!, Terrifying Team Zoolan!, Bianchi's Friendship!, Little Gigantes Showdown, Kick-off to Tomorrow! / Chrono Stone Route: Revive! Raimon! | Battle Bay Stadium: Raimon, Inazuma National",,https://dxi4wb638ujep.cloudfront.net/1/k/d/w/dwho-wi8ruk.png
FALSE,2,IE,,Axel Blaze,Shuya Goenji,,Feu,豪炎寺 修也,Axel,Axel,♂,,FW,MF,,Justice,50,Légendaire,169,161,147,130,123,119,119,330,392,336,249,253,242,1079,968,121,115,105,93,88,85,85,236,280,240,178,181,173,771,692,Fire Tornado,Scorching Tackle,Inazuma Drop,,,,Tornade de feu,Charge enflammée,Trampoline du tonnerre,,,,"Raimon, Inazuma National",Beneath his cool exterior burns an intense and fiery passion for football.,,,https://dxi4wb638ujep.cloudfront.net/1/k/f/1/f1kh7d67sbs.png
FALSE,5,IE,,Jack Wallside,Heigoro Kabeyama,,Montagne,壁山 塀吾郎,Wallside,Wallside,♂,,DF,MF,,Justice,50,Légendaire,126,131,133,159,142,147,127,257,327,355,306,301,289,1233,965,90,94,95,114,102,105,91,184,234,254,219,216,207,883,691,Shoulder Tackle,The Wall,The Mountain,,,,Tacle à l'épaule,Le Mur,La Montagne,,,,"Raimon, Inazuma National","With his bulky frame, the team's defence is as sturdy as a wall.","Player Universe: Orbis Ricarra, Tiraton, Diamantis | Chronicle Competition Route: Football Frontier Route: Royal Academy is Here!, Riverside Showdown!, Occult's Black Magic!, The Inazuma Drop!, The Terrifying Cyborgs!, Willy Rising!, Toe-to-Toe with Royal Academy, The Legendary Eleven!, Football – Ninja Style!, Unbreakable Wall Broken!, Clash with Kirkwood JH, God VS Majin!, Team Ogre Attacks! / Alius Route: The Aliens are Here!, Defeat the Dark 11!, Threat of Alius Academy!, Prince of Snowland, Alius Academy Attacks!, Training with Cloister!, Epsilon Attacks!, Royal Academy Counters!, Erik Eagle in Trouble!, Tough Battle: Epsilon!, The Other Majin!, Seismic Earthquake!, Rhythmic Football!, Advanced Epsilon Counter, Raging Flame Adept!, Absolute Zero Frostbite!, Surpass Royal Academy!, Chaos: Miraculous Team, The Battle for Earth! VS Genesis!!, Raimon VS Raimon! / FF International Route: Team Japan Unite!, Ride Over the Big Wave!, Scorching Desert Trap!, Replacements?!, Asia's Perfect Strategy!, The Sacred Knights, The Looming Fortress!, Phoenix's Determination, Red Matador Powerhouse!, Mister D's Football, Apostles from the Sky, Dark Angels' Descent!, The Kingdom's Revenge!, Terrifying Team Zoolan!, Bianchi's Friendship!, Little Gigantes Showdown, Kick-off to Tomorrow! | Free Match: Inazuma Eleven 2: Raimon | Battle Bay Stadium: Raimon, Inazuma National",,https://dxi4wb638ujep.cloudfront.net/1/k/m/r/mrvaa0xojh8.png
FALSE,6,IE,,Nathan Swift,Ichirota Kazemaru,,Vent,風丸 一郎太,Swift,Swift,♂,,DF,MF,,Justice,50,Légendaire,126,131,133,159,142,147,127,257,327,355,306,301,289,1233,965,90,94,95,114,102,105,91,184,234,254,219,216,207,883,691,Cunning Pull,Flurry Dash,Fire Rooster,,,,Tirage rusé,Dribble rafale,Oiseau de feu,,,,"Raimon, Inazuma National",His fancy footwork puts the opposition in their place. He's nothing short of a gale-force wind sweeping the pitch.,"Deluxe Edition Bonus | Player Universe: Instructus Notara, Academion | Chronicle Competition Route: Football Frontier Route: Royal Academy is Here!, Riverside Showdown!, Occult's Black Magic!, The Inazuma Drop!, The Terrifying Cyborgs!, Willy Rising!, Toe-to-Toe with Royal Academy, The Legendary Eleven!, Football – Ninja Style!, Unbreakable Wall Broken!, Clash with Kirkwood JH, God VS Majin!, Team Ogre Attacks! / Alius Route: The Aliens are Here!, Defeat the Dark 11!, Threat of Alius Academy!, Prince of Snowland, Alius Academy Attacks!, Training with Cloister!, Epsilon Attacks!, Royal Academy Counters!, Erik Eagle in Trouble!, Tough Battle: Epsilon!, The Other Majin!, Seismic Earthquake! / FF International Route: Team Japan Unite!, Ride Over the Big Wave!, Scorching Desert Trap!, Replacements?!, Asia's Perfect Strategy!, The Sacred Knights, The Looming Fortress!, Phoenix's Determination, Red Matador Powerhouse!, Mister D's Football, Apostles from the Sky, The Kingdom's Revenge!, Terrifying Team Zoolan!, Bianchi's Friendship!, Little Gigantes Showdown, Kick-off to Tomorrow! | Free Match: Inazuma Eleven 3: Team Sharp | Battle Bay Stadium: Raimon, Inazuma National",,https://dxi4wb638ujep.cloudfront.net/1/k/9/5/95k7tlx0k0u.png
FALSE,7,IE,,Kevin Dragonfly,Ryugo Someoka,,Forêt,染岡 竜吾,Kevin,Kevin,♂,,FW,MF,,Tension,50,Légendaire,163,156,142,126,117,114,113,319,379,324,240,243,231,1028,931,117,112,102,90,84,82,81,229,272,232,172,174,166,738,668,Will-o'-the-Wisp Shot,Dragon Crash,Dragon Tornado,,,,Tir en cloche,Choc du dragon,Tornade du dragon,,,,"Raimon, Inazuma National","A hothead who cares deeply for his pals. He seems scary, but behind the scenes, he works incredibly hard.","Deluxe Edition Bonus | Player Universe: Draconis | Chronicle Competition Route: Football Frontier Route: Royal Academy is Here!, Riverside Showdown!, Occult's Black Magic!, The Inazuma Drop!, The Terrifying Cyborgs!, Willy Rising!, Toe-to-Toe with Royal Academy, The Legendary Eleven!, Football – Ninja Style!, Unbreakable Wall Broken!, Clash with Kirkwood JH, God VS Majin!, Team Ogre Attacks! / Alius Route: The Aliens are Here!, Defeat the Dark 11!, Threat of Alius Academy!, Prince of Snowland, Alius Academy Attacks!, Training with Cloister!, Epsilon Attacks!, Royal Academy Counters! / FF International Route: Team Japan Unite!, The Sacred Knights, The Looming Fortress!, Phoenix's Determination, Red Matador Powerhouse!, Mister D's Football, Apostles from the Sky, The Kingdom's Revenge!, Terrifying Team Zoolan!, Bianchi's Friendship!, Little Gigantes Showdown, Kick-off to Tomorrow! | Battle Bay Stadium: Raimon",,https://dxi4wb638ujep.cloudfront.net/1/k/0/d/0dvmw8cb_ye.png
FALSE,8,IE,,Tod Ironside,Teppei Kurimatsu,,Feu,栗松 鉄平,Tod,Tod,♂,,DF,MF,,Counter,50,Légendaire,120,126,127,154,137,142,123,246,313,342,296,291,279,1192,929,86,90,91,110,98,102,88,176,224,245,212,208,200,854,665,Curving Cut,Spinning Cut,Monkey Turn,,,,Coupe courbée,Scie circulaire,Pirouette du singe,,,,"Raimon, Inazuma National",Raimon's lovable class clown who never gets out-hustled on guts and grit.,"Player Universe: Supportus | Chronicle Competition Route: Football Frontier Route: Royal Academy is Here!, Riverside Showdown!, Occult's Black Magic!, The Inazuma Drop!, The Terrifying Cyborgs!, Willy Rising!, Toe-to-Toe with Royal Academy, The Legendary Eleven!, Football – Ninja Style!, Unbreakable Wall Broken!, Clash with Kirkwood JH, God VS Majin!, Team Ogre Attacks! / Alius Route: The Aliens are Here!, Defeat the Dark 11!, Threat of Alius Academy!, Prince of Snowland, Alius Academy Attacks!, Training with Cloister!, Epsilon Attacks!, Royal Academy Counters!, Erik Eagle in Trouble!, Tough Battle: Epsilon!, The Other Majin!, Seismic Earthquake! / FF International Route: Team Japan Unite!, Ride Over the Big Wave!, Scorching Desert Trap!, Replacements?!, Asia's Perfect Strategy!, The Sacred Knights, The Looming Fortress!, Kick-off to Tomorrow! | Free Match: Inazuma Eleven 3: Team Sharp | Battle Bay Stadium: Raimon, Inazuma National",,https://dxi4wb638ujep.cloudfront.net/1/k/_/y/_yjndsfyhyu.png
FALSE,9,IE,,Steve Grim,Shinichi Handa,,Vent,半田 真一,Steve,Steve,♂,,MF,DF,,Justice,50,Légendaire,140,151,147,135,123,123,113,291,368,338,258,258,246,1067,932,100,108,105,97,88,88,81,208,263,242,185,185,176,764,667,Heel Flick,Cyclone,Rolling Kick,,,,Talonnette,Cyclone,Frappe rotative,,,,Raimon,"He is a jack-of-all-trades. In other words, well balanced.","Player Universe: Orbis Ricarra | Chronicle Competition Route: Football Frontier Route: Royal Academy is Here!, Riverside Showdown!, Occult's Black Magic!, The Inazuma Drop!, The Terrifying Cyborgs!, Willy Rising!, Toe-to-Toe with Royal Academy, The Legendary Eleven!, Football – Ninja Style!, Unbreakable Wall Broken!, Clash with Kirkwood JH, God VS Majin!, Team Ogre Attacks! / Alius Route: The Aliens are Here! / FF International Route: Kick-off to Tomorrow! | Battle Bay Stadium: Raimon",,https://dxi4wb638ujep.cloudfront.net/1/k/f/3/f3asqpwqusk.png
FALSE,10,IE,,Maxwell Carson,Kusuke Matsuno,,Vent,松野 空介,Max,Max,♂,,FW,MF,,Tension,50,Légendaire,163,156,142,126,117,114,113,319,379,324,240,243,231,1028,931,117,112,102,90,84,82,81,229,272,232,172,174,166,738,668,Nutmeg,Quick Draw,Cross Drive,,,,Petit pont,Subtilisation,Shoot en croix,,,,Raimon,A gifted all-rounder who just can't stay interested for long.,"Player Universe: Inazumis | Chronicle Competition Route: Football Frontier Route: Royal Academy is Here!, Riverside Showdown!, Occult's Black Magic!, The Inazuma Drop!, The Terrifying Cyborgs!, Willy Rising!, Toe-to-Toe with Royal Academy, The Legendary Eleven!, Football – Ninja Style!, Unbreakable Wall Broken!, Clash with Kirkwood JH, God VS Majin!, Team Ogre Attacks! / Alius Route: The Aliens are Here! / FF International Route: Team Japan Unite!, Kick-off to Tomorrow! | Battle Bay Stadium: Raimon",,https://dxi4wb638ujep.cloudfront.net/1/k/r/d/rd_khczyztm.png
FALSE,11,IE,,Tim Saunders,Ayumu Shorinji,,Forêt,少林寺 歩,Timmy,Timmy,♂,,MF,DF,,Bond,50,Légendaire,140,151,147,135,123,123,113,291,368,338,258,258,246,1067,932,100,108,105,97,88,88,81,208,263,242,185,185,176,764,667,Crosscut Feint,Whirlwind Twister,Kung Fu Header,,,,Feinte au travers,Tourbillon,Tête kung-fu,,,,Raimon,"Darts around the pitch with kung fu flair, nailing headers with his rock-hard skull.","Player Universe: Whistlaria | Chronicle Competition Route: Football Frontier Route: Royal Academy is Here!, Riverside Showdown!, Occult's Black Magic!, The Inazuma Drop!, The Terrifying Cyborgs!, Willy Rising!, Toe-to-Toe with Royal Academy, The Legendary Eleven!, Football – Ninja Style!, Unbreakable Wall Broken!, Clash with Kirkwood JH, God VS Majin!, Team Ogre Attacks! / Alius Route: The Aliens are Here! / FF International Route: Kick-off to Tomorrow! | Battle Bay Stadium: Raimon",,https://dxi4wb638ujep.cloudfront.net/1/k/u/f/ufxz9wwq5hm.png
FALSE,12,IE,,Sam Kincaid,Sakichi Shishido,,Feu,宍戸 佐吉,Sam,Sam,♂,,MF,DF,,Bond,50,Légendaire,140,151,147,135,123,123,113,291,368,338,258,258,246,1067,932,100,108,105,97,88,88,81,208,263,242,185,185,176,764,667,Deceptive Step,Grenade Shot,Bewildered,,,,Enjambée trompeuse,Tir grenade,Confusion,,,,Raimon,"Often the punchline on Raimon's team, with hair that shouts louder than he ever does.","Player Universe: Friendarion | Chronicle Competition Route: Football Frontier Route: Royal Academy is Here!, Riverside Showdown!, Occult's Black Magic!, The Inazuma Drop!, The Terrifying Cyborgs!, Willy Rising!, Toe-to-Toe with Royal Academy, The Legendary Eleven!, Football – Ninja Style!, Unbreakable Wall Broken!, Clash with Kirkwood JH, God VS Majin!, Team Ogre Attacks! / Alius Route: The Aliens are Here! / FF International Route: Kick-off to Tomorrow! | Battle Bay Stadium: Raimon",,https://dxi4wb638ujep.cloudfront.net/1/k/a/1/a1orm9vieek.png
